record_id,province,district,ds_division,safe_zone_id,safe_zone_name,camp_id,camp_name,latitude,longitude,population,children_count,elderly_count,food_available,water_available,medicine_available,sanitary_available,distance_from_distribution_center,camp_capacity,road_access_status,nearest_distribution_center,camp_priority,food_priority,water_priority,medicine_priority,sanitary_priority,human_error_flag,human_error_type
PF-RD-00001,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00001,Karainagar Relief Camp 001,9.686095,80.006646,299,88,53,340,4767,23,100,14.0,560,Good,Jaffna District Relief Warehouse,Medium,Low,Low,High,Medium,No,None
PF-RD-00002,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0062,Ratnapura Sports Complex Safe Zone,CAMP-00002,Ratnapura Relief Camp 002,6.705103,80.368833,692,246,93,165,7574,32,158,7.1,1043,Limited,Ratnapura Army Relief Point,Medium,High,Medium,High,Medium,No,None
PF-RD-00003,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00003,Elpitiya Relief Camp 003,6.106808,80.129039,193,63,6,108,1740,30,17,6.7,236,Good,Galle Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00004,Southern,Matara,Akuressa,SZ-0017,Akuressa Divisional Secretariat Hall Safe Zone,CAMP-00004,Akuressa Relief Camp 004,5.939685,80.535117,210,67,20,78,3593,8,68,11.5,227,Good,Matara District Relief Warehouse,Medium,High,Low,High,Medium,No,None
PF-RD-00005,Central,Kandy,Akurana,SZ-0044,Akurana Central College Safe Zone,CAMP-00005,Akurana Relief Camp 005,7.194441,80.703972,351,62,59,70,2433,52,145,1.8,572,Good,Kandy GN Division Collection Hub,Medium,High,Medium,Medium,Medium,No,None
PF-RD-00006,Northern,Mannar,Musali,SZ-0026,Musali Primary School Safe Zone,CAMP-00006,Musali Relief Camp 006,9.045663,79.827658,56,11,4,16,495,11,25,5.8,83,Good,Mannar District Relief Warehouse,Low,High,Medium,Low,Low,No,None
PF-RD-00007,North Western,Puttalam,Chilaw,SZ-0060,Chilaw Maha Vidyalaya Safe Zone,CAMP-00007,Chilaw Relief Camp 007,8.032075,79.812737,314,94,52,87,1924,33,50,1.9,681,Limited,Puttalam DMC Coordination Centre,High,High,High,High,High,No,None
PF-RD-00008,Eastern,Trincomalee,Kinniya,SZ-0041,Kinniya Cooperative Hall Safe Zone,CAMP-00008,Kinniya Relief Camp 008,8.553269,81.27964,181,28,25,174,833,32,85,4.7,172,Good,Trincomalee District Secretariat Stores,Low,Low,High,Low,Low,No,None
PF-RD-00009,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00009,Beruwala Relief Camp 009,6.642797,80.033581,152,23,21,177,652,9,55,4.3,321,Good,Kalutara GN Division Collection Hub,Medium,Low,High,High,Low,No,None
PF-RD-00010,Sabaragamuwa,Kegalle,Ruwanwella,SZ-0066,Ruwanwella Central College Safe Zone,CAMP-00010,Ruwanwella Relief Camp 010,7.270777,80.272006,163,15,23,100,1638,29,23,6.2,331,Good,Kegalle District Secretariat Stores,Low,Medium,Medium,Low,High,No,None
