record_id,province,district,ds_division,safe_zone_id,safe_zone_name,camp_id,camp_name,latitude,longitude,population,children_count,elderly_count,food_available,water_available,medicine_available,sanitary_available,distance_from_distribution_center,camp_capacity,road_access_status,nearest_distribution_center,camp_priority,food_priority,water_priority,medicine_priority,sanitary_priority,human_error_flag,human_error_type,infants_count,pregnant_women_count,disabled_people_count,chronic_patients_count,last_distribution_hours,vehicle_capacity_total,camp_occupancy_ratio,vulnerable_ratio
PF-RD-00001,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00001,Karainagar Relief Camp 001,9.686095,80.006646,299,88,53,340.0,4767.0,23.0,100.0,14.0,560.0,Good,Jaffna District Relief Warehouse,Medium,Low,Low,High,Medium,No,,18,11,15,28,33,619,0.5339,0.7124
PF-RD-00002,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0062,Ratnapura Sports Complex Safe Zone,CAMP-00002,Ratnapura Relief Camp 002,6.705103,80.368833,692,246,93,165.0,7574.0,32.0,158.0,7.1,1043.0,Limited,Ratnapura Army Relief Point,Medium,High,Medium,High,Medium,No,,42,25,35,54,53,330,0.6635,0.7153
PF-RD-00003,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00003,Elpitiya Relief Camp 003,6.106808,80.129039,193,63,6,108.0,1740.0,30.0,17.0,6.7,236.0,Good,Galle Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,High,No,,12,7,10,8,34,661,0.8178,0.5492
PF-RD-00004,Southern,Matara,Akuressa,SZ-0017,Akuressa Divisional Secretariat Hall Safe Zone,CAMP-00004,Akuressa Relief Camp 004,5.939685,80.535117,210,67,20,78.0,3593.0,8.0,68.0,11.5,227.0,Good,Matara District Relief Warehouse,Medium,High,Low,High,Medium,No,,13,8,11,14,35,633,0.9251,0.6333
PF-RD-00005,Central,Kandy,Akurana,SZ-0044,Akurana Central College Safe Zone,CAMP-00005,Akurana Relief Camp 005,7.194441,80.703972,351,62,59,70.0,2433.0,52.0,145.0,1.8,572.0,Good,Kandy GN Division Collection Hub,Medium,High,Medium,Medium,Medium,No,,22,13,18,32,33,690,0.6136,0.5869
PF-RD-00006,Northern,Mannar,Musali,SZ-0026,Musali Primary School Safe Zone,CAMP-00006,Musali Relief Camp 006,9.045663,79.827658,56,11,4,16.0,495.0,11.0,25.0,5.8,83.0,Good,Mannar District Relief Warehouse,Low,High,Medium,Low,Low,No,,4,2,3,4,35,667,0.6747,0.5
PF-RD-00007,North Western,Puttalam,Chilaw,SZ-0060,Chilaw Maha Vidyalaya Safe Zone,CAMP-00007,Chilaw Relief Camp 007,8.032075,79.812737,314,94,52,87.0,1924.0,33.0,50.0,1.9,681.0,Limited,Puttalam DMC Coordination Centre,High,High,High,High,High,No,,19,11,16,28,51,345,0.4611,0.7006
PF-RD-00008,Eastern,Trincomalee,Kinniya,SZ-0041,Kinniya Cooperative Hall Safe Zone,CAMP-00008,Kinniya Relief Camp 008,8.553269,81.27964,181,28,25,174.0,833.0,32.0,85.0,4.7,172.0,Good,Trincomalee District Secretariat Stores,Low,Low,High,Low,Low,No,,11,7,10,15,31,673,1.0,0.5304
PF-RD-00009,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00009,Beruwala Relief Camp 009,6.642797,80.033581,152,23,21,177.0,652.0,9.0,55.0,4.3,321.0,Good,Kalutara GN Division Collection Hub,Medium,Low,High,High,Low,No,,10,6,8,12,30,675,0.4735,0.5263
PF-RD-00010,Sabaragamuwa,Kegalle,Ruwanwella,SZ-0066,Ruwanwella Central College Safe Zone,CAMP-00010,Ruwanwella Relief Camp 010,7.270777,80.272006,163,15,23,100.0,1638.0,29.0,23.0,6.2,331.0,Good,Kegalle District Secretariat Stores,Low,Medium,Medium,Low,High,No,,10,6,9,13,32,664,0.4924,0.4663
PF-RD-00011,Southern,Hambantota,Tangalle,SZ-0020,Tangalle Public Ground Safe Zone,CAMP-00011,Tangalle Relief Camp 011,6.226754,81.147806,554,100,36,304.0,3025.0,56.0,126.0,23.5,1004.0,Limited,Hambantota GN Division Collection Hub,Medium,Medium,High,Medium,Medium,No,,34,20,28,30,65,282,0.5518,0.4477
PF-RD-00012,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00012,Kolonnawa Relief Camp 012,6.856155,79.783999,216,71,22,140.0,2239.0,11.0,44.0,3.7,435.0,Good,Colombo District Relief Warehouse,Medium,Medium,Medium,High,Medium,No,,13,8,11,15,31,679,0.4966,0.6481
